rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,id
11,spotify:track:7gMfVc4zfNIxuMyMGglOHa,Jimin,Rebirth (Intro),BIGHIT MUSIC,8,11,11,138037,7gMfVc4zfNIxuMyMGglOHa
12,spotify:track:6oNLSQX8bcAdbCElZYju3v,fromis_9,Supersonic,PLEDIS Entertainment,12,12,8,136772,6oNLSQX8bcAdbCElZYju3v
13,spotify:track:3d2bsbugow8JiNvuaRupFH,"Jimin, Sofia Carson",Slow Dance (feat. Sofia Carson),BIGHIT MUSIC,6,10,11,135548,3d2bsbugow8JiNvuaRupFH
14,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,12,14,7,127537,2plbrEY59IikOBgBGLjaoe
15,spotify:track:5ocSQW5sIUIOFojwXEz9Ki,NewJeans,Supernatural,ADOR,2,13,15,127482,5ocSQW5sIUIOFojwXEz9Ki
16,spotify:track:1Es7AUAhQvapIcoh3qMKDL,"The Weeknd, Playboi Carti",Timeless (with Playboi Carti),XO / Republic Records,16,-1,1,125272,1Es7AUAhQvapIcoh3qMKDL
17,spotify:track:4sgMbwl9lXGyHcHmtFYGMm,aespa,Supernova,SM Entertainment,1,18,21,116293,4sgMbwl9lXGyHcHmtFYGMm
18,spotify:track:3vnaEaDxMKdBhqA1t0uAwl,Lim Young Woong,Warmth,Mulgogi Music,12,20,22,114173,3vnaEaDxMKdBhqA1t0uAwl
19,spotify:track:2PlsVMcOn6ujc2UEYs2Yat,Lim Young Woong,Home,Mulgogi Music,13,21,22,113827,2PlsVMcOn6ujc2UEYs2Yat
20,spotify:track:45zLrK0668WQ5JFMyiYmCS,Jimin,Interlude : Showtime,BIGHIT MUSIC,10,16,11,112066,45zLrK0668WQ5JFMyiYmCS
21,spotify:track:38tXZcL1gZRfbqfOG0VMTH,NewJeans,How Sweet,ADOR,1,22,19,111300,38tXZcL1gZRfbqfOG0VMTH
22,spotify:track:5LlUJ3HHI2dS0xowdMDXC5,MEOVV,MEOW,THEBLACKLABEL,12,15,4,110337,5LlUJ3HHI2dS0xowdMDXC5
23,spotify:track:1aKvZDoLGkNMxoRYgkckZG,ILLIT,Magnetic,BELIFT LAB,1,26,28,108882,1aKvZDoLGkNMxoRYgkckZG
24,spotify:track:21ewxM3YvcdTj7cC0XwznO,Lim Young Woong,Do or Die,Mulgogi Music,6,25,52,108275,21ewxM3YvcdTj7cC0XwznO
25,spotify:track:6aJn7Cst74cj4lNIiPRgav,KATSEYE,Touch,"HYBE UMG, LLC",17,17,8,106113,6aJn7Cst74cj4lNIiPRgav
26,spotify:track:4WUpMUjdoi47LY7gBQBXe3,Lim Young Woong,Grain of Sand,물고기뮤직,8,27,70,103605,4WUpMUjdoi47LY7gBQBXe3
27,spotify:track:0T6J3Ipbe06lm7p3grH2bg,DAY6,녹아내려요 Melt Down,JYP Entertainment,17,23,5,102565,0T6J3Ipbe06lm7p3grH2bg
28,spotify:track:4e1aewX6ATPcdfQIqr7gqO,KISS OF LIFE,Sticky,S2 ENTERTAINMENT INC.,6,19,14,102097,4e1aewX6ATPcdfQIqr7gqO
29,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,20,31,20,100056,6dOtVTDdiauQNBQEDOtlAB
