rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:2eLe81VDUQ5f0xFfc9cMWz","sokodomo, Zion.T, Wonstein","MERRY-GO-ROUND (Feat. Zion.T, Wonstein) (Prod. Slom)","Genie Music Corporation",1,1,5,"26536"
2,"spotify:track:36kGkexLBfRK1hqdJ6qmaE","Anandelight, unofficialboyy, BE'O, Geegooin, Mudd the student, MINO","BREATHE (Feat. MINO) (Prod. GRAY)","Genie Music Corporation",1,2,11,"11288"
3,"spotify:track:3ijq6sRH7PgRabMb83VvQO","Gaeko, Ourealgoat, SINCE, Ahn byeong woong, Tabber, Gwangil Jo, CODE KUNST","Wake Up (Prod. CODE KUNST)","Genie Music Corporation",2,4,11,"10532"
4,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,5,132,"10147"
5,"spotify:track:46HNZY1i7O6jwTA7Slo2PI","Coldplay, BTS","My Universe","Parlophone UK",1,3,55,"10119"
6,"spotify:track:3dbLT62Cvs46Ju7a8gpr36","aespa","Savage","SM Entertainment",1,6,44,"8728"
7,"spotify:track:00Blm7zeNqgYLPtW6zg8cj","Post Malone, The Weeknd","One Right Now (with The Weeknd)","Republic Records",4,7,13,"8074"
8,"spotify:track:2g0LdZQce9xlcHb1mBJyuz","IU","strawberry moon","EDAM Entertainment",1,8,31,"7585"
9,"spotify:track:2bgTY4UwhfBYhGT4HUYStN","BTS","Butter","BIGHIT MUSIC",1,9,181,"7105"
10,"spotify:track:5eXBXreN3d1zdj6Sa8dS0u","BTS","Permission to Dance","BIGHIT MUSIC",1,12,132,"6861"
11,"spotify:track:0gplL1WMoJ6iYaPgMCL0gX","Adele","Easy On Me","Columbia",1,10,34,"6850"
12,"spotify:track:7sMBvZCSUl99bJLXZaLa0b","Bruno Mars, Anderson .Paak, Silk Sonic","Smokin Out The Window","Aftermath Entertainment/Atlantic",7,11,13,"6771"
13,"spotify:track:50nfwKoDiSYg8zOCREWAm5","Ed Sheeran","Shivers","Atlantic Records UK",4,13,69,"6605"
14,"spotify:track:5UJTNrW72ZMubW2wKBf8g2","Don Mills, northfacegawd, sokodomo, Khakii, A-chess","TROUBLE (Prod. Slom)","Genie Music Corporation",5,14,11,"6444"
15,"spotify:track:2zrhoHlFKxFTRF5aMyxMoQ","aespa","Next Level","SM Entertainment",1,19,185,"6029"
16,"spotify:track:2J0TRU2EDG29qlmxdGa4xa","TWICE","SCIENTIST","JYP Entertainment",16,16,6,"5911"
17,"spotify:track:3rmo8F54jFF8OgYsqTxm5d","Ed Sheeran","Bad Habits","Atlantic Records UK",3,17,146,"5840"
18,"spotify:track:10IfXtjKQmOiON7tNAHv0y","JIN","Yours","에이스토리, 모스트콘텐츠",5,15,11,"5832"
19,"spotify:track:2ERZ0YZSFysdePb3G7t0p4","Gwangil Jo, Gaeko, JUSTHIS, CODE KUNST","Thorn (Prod. CODE KUNST)","Genie Music Corporation",14,18,5,"5433"
20,"spotify:track:1F5MRky5joGXiNlsfUdaXa","YUMDDA, TOIL, KOONTA, Basick, 365LIT, HWANG JI SANG, Song Min Young","Memories of You and Me","Genie Music Corporation",10,20,11,"5399"
21,"spotify:track:4r34Yi0eltsu1tp6z4lq3x","JEON SOMI","XOXO","THEBLACKLABEL",14,24,20,"5273"
22,"spotify:track:7hU3IHwjX150XLoTVmjD0q","LISA","MONEY","YG Entertainment",9,25,69,"5237"
23,"spotify:track:5Z9KJZvQzH6PFmb8SNkxuk","Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)","Columbia",5,23,118,"5233"
24,"spotify:track:1r9xUipOqoNwggBpENDsvJ","Imagine Dragons, JID, Arcane, League of Legends","Enemy (with JID) - from the series Arcane League of Legends","KIDinaKORNER/Interscope Records",22,22,20,"5196"
25,"spotify:track:5enxwA8aAbwZbf5qCHORXi","Taylor Swift","All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",20,21,6,"5057"
26,"spotify:track:4saklk6nie3yiGePpBwUoc","BTS","Dynamite","BIGHIT MUSIC",1,27,290,"4824"
27,"spotify:track:4iJprGt1rt5iy0sxXXaRWn","D-Hack, PATEKO","OHAYO MY NIGHT","NEOKIDZ",14,30,145,"4731"
28,"spotify:track:6I3mqTwhRpn34SLVafSH7G","Justin Bieber","Ghost","RBMG/Def Jam",14,26,82,"4692"
29,"spotify:track:03qu1u4hDyepQQi2lNxCka","Lee Mujin","Traffic light","ShowPLAY ENTERTAINMENT",8,28,158,"4486"
30,"spotify:track:4t2FIqZJORKZGSKg30SShr","AKMU, IU","NAKKA (with IU)","YG Entertainment",4,33,115,"4461"
31,"spotify:track:4iJyoBOLtHqaGxP12qzhQI","Justin Bieber, Daniel Caesar, Giveon","Peaches (feat. Daniel Caesar & Giveon)","RBMG/Def Jam",1,31,244,"4354"
32,"spotify:track:7gXMkqirKU23zgdlSAb00a","BE'O","Suddenly","Genie Music Corporation, Stone Music Entertainment",32,36,33,"4336"
33,"spotify:track:6LnEoRQKMcaFTR5UvaKuBy","SEVENTEEN","Rock with you","PLEDIS Entertainment",5,32,27,"4302"
34,"spotify:track:1LPSkqVhWVRUkKE03YUkpB","Bruno Mars, Anderson .Paak, Silk Sonic","Leave The Door Open","Aftermath Entertainment/Atlantic",1,34,258,"4180"
35,"spotify:track:2R8MZR1RCP4cIJITHDPRbY","NCT 127","Favorite (Vampire)","SM Entertainment",2,29,24,"4127"
36,"spotify:track:1qE8DOtw7zdXHMgZm20eLM","TWICE","The Feels","JYP Entertainment",20,35,48,"3955"
37,"spotify:track:5xrtzzzikpG3BLbo4q1Yul","IU","LILAC","EDAM Entertainment",1,39,238,"3816"
38,"spotify:track:7rglLriMNBPAyuJOMGwi39","Elton John, Dua Lipa, PNAU","Cold Heart - PNAU Remix","EMI",35,37,97,"3702"
39,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",20,38,290,"3688"
40,"spotify:track:3DarAbFujv6eYNliUTyqtz","Doja Cat, SZA","Kiss Me More (feat. SZA)","Kemosabe Records/RCA Records",2,40,223,"3536"
41,"spotify:track:6SpPr7K4YQ2wp8jU6uOTmQ","Red Velvet","Queendom","SM Entertainment",1,45,94,"3348"
42,"spotify:track:5VXSt0cvi5wtJTox0wKI4x","JEON SOMI","DUMB DUMB","THEBLACKLABEL",7,41,108,"3278"
43,"spotify:track:34JfHOd0fcefm4FSPSrIhF","Jessi","Cold Blooded","Genie Music Corporation, Stone Music Entertainment",17,42,37,"3274"
44,"spotify:track:59c0HrzmHfyQs6LgDw5cHe","ITZY","LOCO","JYP Entertainment",9,44,55,"3240"
45,"spotify:track:2gpWyfu7eZ01zzncHpxOtA","Swedish House Mafia, The Weeknd","Moth To A Flame (with The Weeknd)","Republic Records",14,43,27,"3233"
46,"spotify:track:2bZIDMpzVooosmPHn0tHnd","STAYC","STEREOTYPE","High Up Entertainment",5,47,73,"3209"
47,"spotify:track:6cqH1q7g5GeRVQVMK1Vc7f","TAEYEON","Weekend","SM Entertainment",3,46,135,"3198"
48,"spotify:track:5nCwjUUsmBuNZKn9Xu10Os","IU","Celebrity","EDAM Entertainment",3,48,268,"3182"
49,"spotify:track:6f5ExP43esnvdKPddwKXJH","NEIKED, Mae Muller, Polo G","Better Days (NEIKED x Mae Muller x Polo G)","Capitol Records UK / EMI",35,49,30,"3140"
50,"spotify:track:6JeleVHUHrdvgiFESE33ZU","ASH ISLAND","MELODY","Genie Music Corporation, Stone Music Entertainment",13,52,264,"2830"
51,"spotify:track:7IuuFQShxmy7zMZ3vZvMFj","Lee Young Ji, Jay Park","Day & Night (feat. Jay Park)","MAINSTREAM",35,53,20,"2766"
52,"spotify:track:1t2qYCAjUAoGfeFeoBlK51","aespa","Black Mamba","SM Entertainment",9,56,290,"2684"
53,"spotify:track:2eMgUo649JZjeZiGBECUtZ","CHANGMO","Hyperstar","Genie Music Corporation, Stone Music Entertainment",21,50,7,"2671"
54,"spotify:track:21afd9hCjpQ6lE5DPbcPHP","Bruno Mars, Anderson .Paak, Silk Sonic","Blast Off","Aftermath Entertainment/Atlantic",38,55,6,"2607"
55,"spotify:track:7uQZVznj0uQOGC9KhV2Mg6","LISA","LALISA","YG Entertainment",2,51,69,"2590"
